YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKDAY,14,TRAIN,DT13,12088,13533
2026-03,WEEKDAY,20,TRAIN,EW30,6721,1695
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,NS18,3284,8095
2026-03,WEEKENDS/HOLIDAY,16,TRAIN,NE18,7210,6443
2026-03,WEEKDAY,21,TRAIN,PW3,266,1560
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,DT7,2646,1365
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,NE10,6035,4783
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,NS15,801,257
2026-03,WEEKDAY,12,TRAIN,SW7,3214,1897
2026-03,WEEKENDS/HOLIDAY,21,TRAIN,EW1,7154,14798
2026-03,WEEKENDS/HOLIDAY,11,TRAIN,NS19,20356,14786
2026-03,WEEKENDS/HOLIDAY,6,TRAIN,EW19,2672,1317
2026-03,WEEKDAY,14,TRAIN,DT18,12534,10989
